query,positive,negative
está bien un poco de cafeína durante el embarazo,"No sabemos mucho sobre los efectos de la cafeína durante el embarazo en usted y su bebé. Por lo tanto, es mejor limitar la cantidad que recibe cada día. Si está embarazada, limite la cafeína a 200 miligramos por día. Esta es aproximadamente la cantidad en tazas de café de 1 ½ 8 onzas o una taza de café de 12 onzas.","En general, es seguro para las mujeres embarazadas comer chocolate porque los estudios han demostrado demostrar ciertos beneficios de comer chocolate durante el embarazo. Sin embargo, las mujeres embarazadas deben asegurarse de que su ingesta de cafeína sea inferior a 200 mg por día."
¿Qué fruta es originaria de Australia?,"Passiflora herbertiana. Una rara maracuyá originaria de Australia. Las frutas son de piel verde, pulpa blanca, con una calificación comestible desconocida. Algunas fuentes enumeran la fruta como comestible, dulce y sabrosa, mientras que otras enumeran las frutas como amargas y no comestibles.assiflora herbertiana. Una rara maracuyá originaria de Australia. Las frutas son de piel verde, pulpa blanca, con una calificación comestible desconocida. Algunas fuentes enumeran la fruta como comestible, dulce y sabrosa, mientras que otras enumeran las frutas como amargas y no comestibles.","La nuez de cola es el fruto del árbol de cola, un género (Cola) de árboles que son nativos de las selvas tropicales de África."
¿Qué tan grande es el ejército canadiense?,"Las Fuerzas Armadas Canadienses. 1 La primera misión canadiense de mantenimiento de la paz a gran escala comenzó en Egipto el 24 de noviembre de 1956. 2 Hay aproximadamente 65.000 miembros de la Fuerza Regular y 25.000 reservistas en el ejército canadiense. 3 En Canadá, el 9 de agosto se designa como el Día Nacional de las Fuerzas de Paz.","El Instituto Canadiense de Salud Médica (CPHI) es un programa nacional creado en 2012 como una colaboración entre la Asociación Médica Canadiense (CMA), la Fundación Médica Canadiense (CMF) y las Asociaciones Médicas Provinciales y Territoriales (PTMA)."
tipos de árboles frutales,"Cereza. Los cerezos se encuentran en todo el mundo. Hay 40 o más variedades, que van desde la cereza bing hasta la cereza negra. Junto con la fruta, los cerezos producen flores ligeras y delicadas de color blanco rosado que son muy perfumadas. Enviar. Plantar árboles frutales en su propiedad no solo le proporciona un suministro constante de fruta orgánica, sino que también le permite embellecer su jardín y devolver oxígeno al medio ambiente.","La nuez de cola es el fruto del árbol de cola, un género (Cola) de árboles que son nativos de las selvas tropicales de África."
cuántas calorías al día se pierden amamantando,"Sin embargo, la lactancia materna no solo es mejor para el bebé, sino que la investigación también dice que es mejor para la madre. La lactancia materna quema un promedio de 500 calorías al día, con un rango típico de 200 a 600 calorías quemadas al día. Se estima que la producción de 1 oz. de la leche materna quema 20 calorías. La cantidad de calorías quemadas depende de la cantidad que coma el bebé. Los gemelos que amamantan se queman el doble que si alimentan a un solo bebé. Con gemelos, su madre quema 1000 calorías al día. Quemar 500 calorías adicionales al día resultará en una libra de pérdida de peso semanal.","Sin embargo, todavía necesita algo de niacina todos los días; los hombres necesitan alrededor de 16 mg por día y las mujeres necesitan 14 mg por día a menos que estén embarazadas o amamantando (las mujeres embarazadas y en período de lactancia tienen mayores necesidades de niacina)."
donde esta harrison city pa,"Harrison City es un lugar designado por el censo (CDP) en el condado de Westmoreland, Pensilvania, Estados Unidos. La población era de 155 en el censo de 2000.","Ciudades más cercanas: municipio de Vandling, PA (1,1 millas), Simpson, PA (2,0 millas), municipio de Union Dale, PA (2,1 millas), Carbondale, PA (2,4 millas), municipio de Waymart, PA (2,4 millas), municipio de Mayfield, PA (2.9 millas), distrito de Prompton, PA (2.9 millas), distrito de Jermyn, PA (3.1 millas). Tasas de criminalidad en Forest City por año."
cuántos representantes tiene texas,"Representantes. Estados Unidos está dividido en 435 distritos electorales: 36 en Texas, cada uno con una población de aproximadamente 710.000 personas. Cada distrito elige a un representante a la Cámara por un período de dos años. Los representantes también se denominan congresistas / congresistas. 1er Distrito. Los Estados Unidos están divididos en 435 distritos electorales: 36 en Texas. ÃƒÂ ¢ Ã‚â‚¬Ã‚â € cada uno con una población de alrededor de 710.000 individuos. Cada distrito elige un representante a la Cámara por un período de dos años. Los representantes también se denominan congresistas / congresistas. 1er Distrito.","La Cámara de Representantes de Texas tiene 150 miembros. * El Senado de Texas tiene 30 miembros. * Texas tiene 32 escaños en la Cámara de Representantes de EE. UU. Y dos senadores de EE. UU. Hay 435 representantes en la Cámara, en comparación con 100 senadores en el Senado. Este es el número alcanzado cuando se agregaron nuevos asientos en 1913, y el número fue bloqueado por la Ley de Redistribución de 1929. De 1959 a 1963, hubo temporalmente 437 asientos. Hay otros 6 delegados sin derecho a voto."
Principales características climáticas de las selvas tropicales.,Descripción [editar]. Las selvas tropicales tienen un tipo de clima tropical en el que no hay estación seca ÃƒÂ ¢ Ã‚â‚¬Ã‚â € œ todos los meses tienen un valor de precipitación promedio de al menos 60 mm. Las selvas tropicales no tienen verano ni invierno; es típicamente caluroso y húmedo durante todo el año y las lluvias son abundantes y frecuentes. Descripción [editar]. Las selvas tropicales tienen un tipo de clima tropical en el que no hay estación seca ÃƒÂ ¢ Ã‚â‚¬Ã‚â € œ todos los meses tienen un valor de precipitación promedio de al menos 60 mm. Las selvas tropicales no tienen verano ni invierno; es típicamente caluroso y húmedo durante todo el año y las lluvias son abundantes y frecuentes.,"La nuez de cola es el fruto del árbol de cola, un género (Cola) de árboles que son nativos de las selvas tropicales de África."
síntomas del cáncer de páncreas,"Síntomas del cáncer de páncreas. El cáncer de páncreas puede causar sólo síntomas vagos e inexplicables. Dolor (generalmente en el abdomen o la espalda), pérdida de peso, ictericia (coloración amarillenta de la piel y / o los ojos) con o sin picazón, pérdida de apetito, náuseas, cambios en las heces, pancreatitis y diabetes de aparición reciente son síntomas que pueden indicar Cancer de pancreas.","El cáncer de páncreas se desarrolla cuando las células anormales del páncreas se multiplican rápidamente en el páncreas. Estas células no mueren, pero continúan creciendo para formar tumores. A medida que avanzan las etapas del cáncer de páncreas en los perros, el tejido del páncreas comienza a morir. En las últimas etapas del cáncer de páncreas, los tumores se pueden diseminar a otros órganos, provocando la muerte de los tejidos y la disfunción de los órganos en todo el cuerpo."
alimentos que ayudarán a reducir el azúcar en sangre,"Los limones son ricos en vitamina C y su acidez ayuda a reducir los índices glucémicos de otros alimentos. Las galletas de avena y salvado de arroz son bocadillos saludables. Complementar con mantequilla de nueces orgánica o queso. Otros alimentos que estabilizan el azúcar en sangre son el queso, las yemas de huevo, las bayas y la levadura de cerveza.","La hemoglobina baja, la presión arterial alta, los niveles altos de colesterol malo y los niveles anormales de azúcar en sangre son algunos de los factores que influyen en la salud de la sangre. Su dieta puede contribuir en gran medida a promover una sangre saludable, y la mayoría de los alimentos que son buenos para la sangre también promueven un peso saludable y el bienestar general. De hecho, los alimentos que contienen grasas monoinsaturadas y poliinsaturadas en realidad reducen sus niveles de colesterol malo y aumentan el colesterol bueno . Los alimentos que promueven niveles saludables de colesterol en sangre incluyen los aceites vegetales, excepto el aceite de palma y de coco, así como el pescado, las nueces y los aguacates."
