"query","positive","negative"
"¿La aplicación Quickfood ofrece la posibilidad de actualizar el menú en tiempo real para los Encargados de Puestos de Comida?","Claro, los Encargados de Puestos de Comida pueden actualizar y personalizar su menú en tiempo real a través de Quickfood, ofreciendo una amplia variedad de opciones a los Consumidores.","Actualmente, Quickfood no brinda la opción de actualizar el menú en tiempo real para los Encargados de Puestos de Comida."
"Puedo actualizar el menu en tiempo real", "Claro los Encargados de Puestos de Comida pueden actualizar y personalizar su menú en tiempo real a través de Quickfood ofreciendo una amplia variedad de opciones a los Consumidores.","Actualmente Quickfood no brinda la opción de actualizar el menú en tiempo real para los Encargados de Puestos de Comida."
"¿Los Productores de Eventos pueden gestionar múltiples puestos de comida a través de Quickfood?","Sí, Quickfood permite a los Productores de Eventos coordinar y administrar varios puestos de comida para eventos masivos o privados.","Lamentablemente, la gestión de múltiples puestos de comida no está disponible para los Productores de Eventos en Quickfood en este momento."
"Puedo gestionar multiples puestos de comida si soy productor?","Sí, Quickfood permite a los Productores de Eventos coordinar y administrar varios puestos de comida para eventos masivos o privados.","Lamentablemente, la gestión de múltiples puestos de comida no está disponible para los Productores de Eventos en Quickfood en este momento."
"¿Los Repartidores en Quickfood pueden ver la ubicación exacta de los Consumidores para realizar entregas?","Sí, en Quickfood, los Repartidores tienen acceso a la ubicación precisa de los Consumidores para entregar pedidos directamente a sus asientos o ubicaciones designadas.","Los Repartidores no tienen acceso a la ubicación exacta de los Consumidores para realizar entregas en Quickfood en este momento."
"¿Pueden los Consumidores realizar pedidos desde cualquier asiento en el evento a través de Quickfood?","¡Por supuesto! Quickfood permite a los Consumidores realizar pedidos desde cualquier asiento dentro del evento para una entrega más eficiente y cómoda.","Lamentablemente, la función de realizar pedidos desde cualquier asiento no está habilitada en Quickfood en este momento."
"¿La aplicación Quickfood ofrece la posibilidad de coordinar pedidos para eventos tanto masivos como privados?","Sí, Quickfood permite coordinar pedidos tanto para eventos masivos como privados, brindando opciones versátiles a los usuarios.","Actualmente, Quickfood no admite la coordinación de pedidos para eventos masivos y privados."
"¿Los Productores de Eventos pueden visualizar el estado y congestión de los pedidos en Quickfood?","Sí, Quickfood proporciona a los Productores de Eventos información detallada sobre el estado de los pedidos y la congestión en tiempo real.","La visualización del estado y congestión de los pedidos no está disponible para los Productores de Eventos en Quickfood en este momento."
"¿Se pueden gestionar pagos y transacciones de pedidos a través de Quickfood para los Encargados de Puestos de Comida?","Sí, Quickfood facilita la gestión de pagos y transacciones para los Encargados de Puestos de Comida, ofreciendo una experiencia de usuario integrada y conveniente.","La gestión de pagos y transacciones para los Encargados de Puestos de Comida no está habilitada en Quickfood en este momento." 
"¿Pueden los Repartidores ver información detallada sobre los pedidos que deben entregar en Quickfood?","Sí, en Quickfood, los Repartidores tienen acceso a información detallada sobre los pedidos pendientes y las ubicaciones de entrega.","Actualmente, los Repartidores no pueden acceder a información detallada sobre los pedidos que deben entregar en Quickfood." 
"¿Pueden los Consumidores realizar seguimiento en tiempo real de sus pedidos en Quickfood?","Sí, en Quickfood, los Consumidores pueden realizar un seguimiento en tiempo real de sus pedidos desde la realización hasta la entrega.","No es posible realizar un seguimiento en tiempo real de los pedidos para los Consumidores en Quickfood en este momento." 
"peeden los Consumidores realisar segimiento en tiempo real sus pedidos en Qf?","Sí, en Quickfood, los Consumidores pueden realizar un seguimiento en tiempo real de sus pedidos desde la realización hasta la entrega.","No es posible realizar un seguimiento en tiempo real de los pedidos para los Consumidores en Quickfood en este momento." 
"¿Ofrece Quickfood la posibilidad de personalizar menús para eventos específicos?","¡Claro! Quickfood permite a los usuarios personalizar menús para eventos específicos, adaptándose a sus necesidades.","La personalización de menús para eventos específicos no está disponible en Quickfood en este momento." 
"Tiene quickfod la posibilidad de personalizar menús para eventos específicos?","¡Claro! Quickfood permite a los usuarios personalizar menús para eventos específicos, adaptándose a sus necesidades.","La personalización de menús para eventos específicos no está disponible en Quickfood en este momento." 
"¿Pueden los Productores de Eventos comunicarse directamente con los Encargados de Puestos de Comida a través de Quickfood?","Sí, Quickfood facilita la comunicación directa entre Productores de Eventos y Encargados de Puestos de Comida para coordinar de manera eficiente.","La comunicación directa entre Productores de Eventos y Encargados de Puestos de Comida no está habilitada en Quickfood en este momento." 
"¿Los Encargados de Puestos de Comida reciben notificaciones en tiempo real sobre los pedidos en Quickfood?","Sí, los Encargados de Puestos de Comida reciben notificaciones instantáneas sobre los pedidos en Quickfood para una gestión eficiente.","No se envían notificaciones en tiempo real sobre los pedidos a los Encargados de Puestos de Comida en Quickfood en este momento." 
"¿Un Consumidor puede convertirse en Repartidor dentro de Quickfood?","Sí, para ser Repartidor en Quickfood, primero debes registrarte como Consumidor y cumplir con los requisitos adicionales para la solicitud de ser Repartidor.","En Quickfood, no se permite a un Consumidor convertirse en Repartidor directamente sin cumplir con los requisitos previos." 
"¿Cuáles son los requisitos para que un Consumidor se convierta en Repartidor en Quickfood?","Para ser Repartidor en Quickfood, un Consumidor debe ser mayor de 18 años, buscar eventos disponibles y solicitar presentarse como Repartidor.","No hay requisitos claros para que un Consumidor se convierta en Repartidor en Quickfood." 
"¿Cómo puede un Consumidor registrarse como Repartidor en Quickfood?","Un Consumidor interesado en ser Repartidor en Quickfood debe cumplir con los requisitos mínimos y realizar una solicitud dentro de la aplicación para presentarse como Repartidor.","No hay opción para que un Consumidor se registre como Repartidor en Quickfood." 
"¿Puede un Consumidor activar su ubicación para que los Repartidores lo encuentren fácilmente en Quickfood?","Sí, en Quickfood, los Consumidores pueden activar su ubicación para que los Repartidores los encuentren fácilmente y realicen entregas precisas.","La función para activar la ubicación no está disponible para los Consumidores en Quickfood." 
"¿Un Repartidor debe haber sido Consumidor previamente para unirse a Quickfood?","Sí, en Quickfood, un Repartidor debe haber sido previamente Consumidor y cumplir con los requisitos adicionales para convertirse en Repartidor.","No hay relación entre haber sido Consumidor y ser Repartidor en Quickfood." 
"¿Cuáles son los pasos para un Repartidor solicitar presentarse en un evento en Quickfood?","Para participar como Repartidor en un evento en Quickfood, el Repartidor debe buscar eventos disponibles y realizar una solicitud dentro de la aplicación para presentarse en el evento.","No hay un proceso definido para que un Repartidor solicite presentarse en eventos en Quickfood." 
"¿Cuáles son los métodos de pago aceptados en Quickfood para los Consumidores?","En Quickfood, los métodos de pago aceptados para los Consumidores incluyen Mercado Pago para transacciones seguras y convenientes.","No hay métodos de pago definidos para los Consumidores en Quickfood." 
"¿Cómo pueden los Repartidores confirmar la ubicación de los Consumidores para realizar entregas en Quickfood?","En Quickfood, los Repartidores tienen acceso a la ubicación precisa de los Consumidores para entregar pedidos de manera eficiente.","Los Repartidores no pueden acceder a la ubicación exacta de los Consumidores para realizar entregas en Quickfood." 
"¿Puede un Consumidor solicitar presentarse en un evento para realizar pedidos a través de Quickfood?","Sí, en Quickfood, un Consumidor puede buscar eventos disponibles y realizar solicitudes para presentarse en el evento y realizar pedidos desde su asiento.","No hay opción para que un Consumidor solicite presentarse en un evento en Quickfood."
